Datetime,MODIS_sighting,Piteraq,LP_wind_influence,HP_wind_influence,EGCCwidth,cylat,cylong,cystormdist
2010-01-23 18:00:00,2010-01-24,1,1,0,75.5,,,
2010-02-16 06:00:00,2010-02-17,0,1,1,75.5,,,
2010-03-05 06:00:00,2010-03-05,1,1,0,75.5,,,
2010-03-11 18:00:00,2010-03-12,0,0,1,90.1,,,
2010-03-14 18:00:00,2010-03-15,0,1,0,90.1,,,
2010-03-25 18:00:00,2010-03-26,0,1,0,60.6,,,
2010-03-30 06:00:00,2010-03-31,0,1,1,60.6,,,
2010-04-06 12:00:00,2010-04-06,0,1,0,90.1,,,
2010-04-11 12:00:00,2010-04-11,0,1,0,90.1,,,
2010-04-16 18:00:00,2010-04-16,0,1,1,90.1,,,
2010-04-30 12:00:00,2010-04-30,0,1,1,75.5,,,
2010-05-05 18:00:00,2010-05-06,0,0,1,75.5,,,
2011-01-24 18:00:00,2011-01-24,0,0,1,75.5,,,
2011-02-15 12:00:00,2011-02-17,0,1,0,46.0,,,
2011-02-25 18:00:00,2011-02-26,1,1,0,60.6,,,
2011-03-03 00:00:00,2011-03-03,0,1,1,90.1,,,
2011-03-06 06:00:00,2011-03-06,1,1,1,90.1,,,
2011-03-25 18:00:00,2011-03-26,0,0,1,110.3,,,
2011-04-11 00:00:00,2011-04-11,0,1,0,110.3,,,
2011-04-14 06:00:00,2011-04-14,0,1,0,110.3,,,
2011-04-19 06:00:00,2011-04-19,1,1,0,110.3,,,
2011-05-07 06:00:00,2011-05-07,0,1,1,75.5,,,
2011-05-27 18:00:00,2011-05-29,0,1,1,75.5,,,
2011-06-01 18:00:00,2011-06-01,0,1,0,90.1,,,
2011-06-15 12:00:00,2011-06-15,0,1,1,90.1,,,
2012-01-19 12:00:00,2012-01-19,0,1,0,,,,
2012-01-25 18:00:00,2012-01-26,0,1,1,75.5,,,
2012-01-29 12:00:00,2012-01-29,0,1,0,75.5,,,
2012-02-08 00:00:00,2012-02-08,0,1,0,31.4,,,
2012-02-15 00:00:00,2012-02-16,0,0,1,90.1,,,
2012-03-09 06:00:00,2012-03-09,0,1,0,130.5,,,
2012-03-14 00:00:00,2012-03-14,0,1,1,110.3,,,
2012-03-27 06:00:00,2012-03-27,0,1,0,110.3,,,
2012-04-03 00:00:00,2012-04-03,0,0,1,90.1,,,
2012-04-13 00:00:00,2012-04-13,0,0,1,150.7,,,
2012-04-27 06:00:00,2012-04-28,0,1,1,60.6,,,
2012-05-02 18:00:00,2012-05-03,0,1,1,60.6,,,
2012-05-25 12:00:00,2012-05-26,0,1,0,110.3,,,
2012-06-11 06:00:00,2012-06-11,0,1,0,,,,
2012-06-18 00:00:00,2012-06-19,0,1,0,110.3,,,
2012-06-25 00:00:00,2012-06-25,0,0,1,,,,
2013-01-28 18:00:00,2013-01-28,0,1,0,46.0,,,
2013-02-04 12:00:00,2013-02-04,0,1,0,75.5,,,
2013-02-09 12:00:00,2013-02-10,0,1,0,75.5,,,
2013-03-01 06:00:00,2013-03-01,1,1,0,90.1,,,
2013-03-12 00:00:00,2013-03-12,0,1,0,60.6,,,
2013-03-21 18:00:00,2013-03-22,0,1,1,90.1,,,
2013-04-08 18:00:00,2013-04-08,0,1,1,75.5,,,
2013-04-23 00:00:00,2013-04-24,0,1,0,75.5,,,
2013-04-27 00:00:00,2013-04-27,1,0,1,75.5,,,
2013-05-08 00:00:00,2013-05-09,0,1,1,90.1,,,
2013-05-15 06:00:00,2013-05-15,0,1,1,60.6,,,
2013-05-20 12:00:00,2013-05-20,0,1,0,60.6,,,
2013-05-23 12:00:00,2013-05-24,0,1,0,60.6,,,
2013-05-27 00:00:00,2013-05-28,0,1,1,75.5,,,
2013-06-08 12:00:00,2013-06-08,0,1,1,,,,
2013-06-16 00:00:00,2013-06-16,0,0,1,110.3,,,
2013-06-26 06:00:00,2013-06-27,0,1,1,60.6,,,
